1,"Attachment & Internship Resources",attachment-internship,"Resources for students preparing for industrial attachment and workplace opportunities.",2026-08-27T11:04:07.316Z
2,"Careers & Professional Development",careers,"Resources to prepare for employment, professional development, and career readiness.",2026-08-27T11:04:07.316Z
3,"ICT & Digital Skills",ict-digital-skills,"Technology-focused resources, basic computer skills, and cybersecurity awareness.",2026-08-27T11:04:07.316Z
4,"Mfano Africa ICT Hub",ict-hub,"Course catalogues, training programmes, and pathways for the ICT Hub.",2026-08-27T11:04:07.316Z
5,"Transport & Logistics",transport-logistics,"Information related to transport, logistics, road safety, and mobility.",2026-08-27T11:04:07.316Z
6,"Road Safety",road-safety,"Educational resources promoting safer roads, defensive driving, and transport safety.",2026-08-27T11:04:07.316Z
7,"Awards & Events",awards-events,"Resources for the East Africa Transport, Logistics & Road Safety Awards and events.",2026-08-27T11:04:07.316Z
8,"Company Resources",company-resources,"Official Mfano Bora Africa company profiles, reports, and corporate brochures.",2026-08-27T11:04:07.316Z
9,"Forms & Templates",forms-templates,"Commonly requested application, registration, and feedback forms.",2026-08-27T11:04:07.316Z
10,"Reports, Publications & Research",reports-publications,"Industry reports, research publications, and Mfano Bora insights.",2026-08-27T11:04:07.316Z
