resource_id,category_id,category_name,subcategory_id,subcategory_name,title,description,file_url,storage_type,stored_path,checksum_sha256,file_size_kb,download_count,is_featured,is_published,publish_date,created_at,updated_at
1,1,"Attachment & Internship Resources",1,"Attachment Guides & Forms","Attachment Application Form","Standard form to apply for industrial attachment opportunities.",https://storage.mfanobora.com/docs/attachment-application-form.pdf,external,,,0,0,1,1,2026-08-25,2026-08-25T06:00:57.768Z,2026-08-25T06:00:57.768Z
2,1,"Attachment & Internship Resources",1,"Attachment Guides & Forms","Attachment Requirements","Requirements for students seeking placement.",https://storage.mfanobora.com/docs/attachment-requirements.pdf,external,,,0,0,0,1,2026-08-25,2026-08-25T06:00:57.768Z,2026-08-25T06:00:57.768Z
3,1,"Attachment & Internship Resources",1,"Attachment Guides & Forms","Industrial Attachment Guide","Comprehensive guidelines for industrial attachment.",https://storage.mfanobora.com/docs/industrial-attachment-guide.pdf,external,,,0,0,1,1,2026-08-25,2026-08-25T06:00:57.768Z,2026-08-25T06:00:57.768Z
4,1,"Attachment & Internship Resources",1,"Attachment Guides & Forms","Internship Application Guide","Step-by-step application information for internship opportunities.",https://storage.mfanobora.com/docs/internship-application-guide.pdf,external,,,0,0,0,1,2026-08-25,2026-08-25T06:00:57.768Z,2026-08-25T06:00:57.768Z
5,1,"Attachment & Internship Resources",1,"Attachment Guides & Forms","Student Logbook Guide","Guidance on properly filling out the student logbook.",https://storage.mfanobora.com/docs/student-logbook-guide.pdf,external,,,0,0,0,1,2026-08-25,2026-08-25T06:00:57.768Z,2026-08-25T06:00:57.768Z
6,1,"Attachment & Internship Resources",1,"Attachment Guides & Forms","Workplace Readiness Guide","Essential skills for workplace readiness and professional conduct.",https://storage.mfanobora.com/docs/workplace-readiness-guide.pdf,external,,,0,0,1,1,2026-08-25,2026-08-25T06:00:57.768Z,2026-08-25T06:00:57.768Z
7,1,"Attachment & Internship Resources",1,"Attachment Guides & Forms","Attachment Interview Preparation Guide","Preparation materials for attachment interviews.",https://storage.mfanobora.com/docs/attachment-interview-prep.pdf,external,,,0,0,0,1,2026-08-25,2026-08-25T06:00:57.768Z,2026-08-25T06:00:57.768Z
8,1,"Attachment & Internship Resources",1,"Attachment Guides & Forms","Attachment Placement Guide","Information on attachment placement processes.",https://storage.mfanobora.com/docs/attachment-placement-guide.pdf,external,,,0,0,0,1,2026-08-25,2026-08-25T06:00:57.768Z,2026-08-25T06:00:57.768Z
9,1,"Attachment & Internship Resources",1,"Attachment Guides & Forms","Student Attachment Checklist","Checklist for students starting their attachment.",https://storage.mfanobora.com/docs/student-attachment-checklist.pdf,external,,,0,0,0,1,2026-08-25,2026-08-25T06:00:57.768Z,2026-08-25T06:00:57.768Z
10,1,"Attachment & Internship Resources",1,"Attachment Guides & Forms","Supervisor Assessment Guide","Guide for supervisors to assess attachment students.",https://storage.mfanobora.com/docs/supervisor-assessment-guide.pdf,external,,,0,0,0,1,2026-08-25,2026-08-25T06:00:57.768Z,2026-08-25T06:00:57.768Z
11,2,"Careers & Professional Development",2,"Career Guides & Prep","CV Writing Guide","Practical information to help students build a professional CV.",https://storage.mfanobora.com/docs/cv-writing-guide.pdf,external,,,0,0,1,1,2026-08-25,2026-08-25T06:00:57.768Z,2026-08-25T06:00:57.768Z
12,2,"Careers & Professional Development",2,"Career Guides & Prep","Cover Letter Writing Guide","Guidelines for crafting effective cover letters.",https://storage.mfanobora.com/docs/cover-letter-guide.pdf,external,,,0,0,0,1,2026-08-25,2026-08-25T06:00:57.768Z,2026-08-25T06:00:57.768Z
13,2,"Careers & Professional Development",2,"Career Guides & Prep","Interview Preparation Guide","Comprehensive interview preparation strategies.",https://storage.mfanobora.com/docs/interview-prep-guide.pdf,external,,,0,0,1,1,2026-08-25,2026-08-25T06:00:57.768Z,2026-08-25T06:00:57.768Z
14,2,"Careers & Professional Development",2,"Career Guides & Prep","Career Readiness Guide","Materials for students and job seekers preparing for careers.",https://storage.mfanobora.com/docs/career-readiness-guide.pdf,external,,,0,0,0,1,2026-08-25,2026-08-25T06:00:57.768Z,2026-08-25T06:00:57.768Z
15,2,"Careers & Professional Development",2,"Career Guides & Prep","Professional Ethics Guide","Guide on maintaining professional ethics in the workplace.",https://storage.mfanobora.com/docs/professional-ethics.pdf,external,,,0,0,0,1,2026-08-25,2026-08-25T06:00:57.768Z,2026-08-25T06:00:57.768Z
16,2,"Careers & Professional Development",2,"Career Guides & Prep","Workplace Communication Guide","Best practices for workplace communication.",https://storage.mfanobora.com/docs/workplace-communication.pdf,external,,,0,0,0,1,2026-08-25,2026-08-25T06:00:57.768Z,2026-08-25T06:00:57.768Z
