11,21,Attachment,attachment,,2026-08-25T09:52:32.311Z
12,21,Internship,internship,,2026-08-25T09:52:43.075Z
13,21,"Career Guidance",career-guidance,,2026-08-25T09:52:55.504Z
14,21,"Workplace Readiness",workplace-readiness,,2026-08-25T09:53:06.287Z
15,22,Transport,transport,,2026-08-25T09:53:36.605Z
16,22,Logistics,logistics,,2026-08-25T09:53:45.168Z
17,22,"Road Safety",road-safety,,2026-08-25T09:54:10.804Z
18,22,"Professional Services",professional-services,,2026-08-25T09:54:16.162Z
19,23,"Digital Skills",digital-skills,,2026-08-25T09:54:55.420Z
20,23,"ICT Training",ict-training,,2026-08-25T09:55:00.491Z
21,23,Cybersecurity,cybersecurity,,2026-08-25T09:55:07.286Z
22,23,"Digital Innovation",digital-innovation,,2026-08-25T09:55:18.884Z
23,24,Publications,publications,,2026-08-25T09:55:45.919Z
24,24,Research,research,,2026-08-25T09:55:55.257Z
25,24,"Industry Insights",industry-insights,,2026-08-25T09:56:03.875Z
26,25,"Transport & Logistic",transport-logistic,,2026-08-25T09:56:30.378Z
27,25,"Road Safety Awards",road-safety-awards,,2026-08-25T09:57:11.046Z
28,25,Awards,awards,,2026-08-25T09:57:23.078Z
29,25,"Events & Awards Publications",events-awards-publications,,2026-08-25T09:57:53.928Z
30,24,Reports,reports,,2026-08-25T09:58:38.169Z
